[GIN] 2020/08/06 - 15:55:41 | 200 |      217.01µs |       127.0.0.1 | GET      "/swagger/index.html"
[GIN] 2020/08/06 - 15:55:42 | 200 |  136.082454ms |       127.0.0.1 | GET      "/swagger/index.html"
[GIN] 2020/08/06 - 15:55:42 | 200 |    2.409861ms |       127.0.0.1 | GET      "/favicon.ico"
[GIN] 2020/08/06 - 15:55:42 | 200 |   84.544228ms |       127.0.0.1 | GET      "/favicon.ico"
[GIN] 2020/08/06 - 15:55:43 | 200 |      62.545µs |       127.0.0.1 | GET      "/swagger/index.html"
[GIN] 2020/08/06 - 15:55:43 | 200 |  139.077721ms |       127.0.0.1 | GET      "/swagger/index.html"
[GIN] 2020/08/06 - 15:55:43 | 200 |      78.161µs |       127.0.0.1 | GET      "/swagger/swagger-ui.css"
[GIN] 2020/08/06 - 15:55:43 | 200 |     717.759µs |       127.0.0.1 | GET      "/swagger/swagger-ui-bundle.js"
[GIN] 2020/08/06 - 15:55:43 | 200 |     190.848µs |       127.0.0.1 | GET      "/swagger/swagger-ui-standalone-preset.js"
[GIN] 2020/08/06 - 15:55:43 | 200 |   81.709554ms |       127.0.0.1 | GET      "/swagger/swagger-ui.css"
[GIN] 2020/08/06 - 15:55:43 | 200 |  134.802564ms |       127.0.0.1 | GET      "/swagger/swagger-ui-bundle.js"
[GIN] 2020/08/06 - 15:55:43 | 200 |  138.166748ms |       127.0.0.1 | GET      "/swagger/swagger-ui-standalone-preset.js"
[GIN] 2020/08/06 - 15:55:44 | 200 |     180.306µs |       127.0.0.1 | GET      "/swagger/doc.json"
[GIN] 2020/08/06 - 15:55:44 | 200 |   83.569889ms |       127.0.0.1 | GET      "/swagger/doc.json"
[GIN] 2020/08/06 - 15:55:58 | 200 |  176.239631ms |       127.0.0.1 | POST     "/admin/platform"
[GIN] 2020/08/06 - 15:55:58 | 200 |  258.570117ms |       127.0.0.1 | POST     "/admin/platform"
[GIN] 2020/08/06 - 15:56:12 | 411 |   92.462063ms |       127.0.0.1 | POST     "/admin/platform"
[GIN] 2020/08/06 - 15:56:12 | 411 |  174.226716ms |       127.0.0.1 | POST     "/admin/platform"
