time="2020-08-08 02:33:53" level=info msg="[INFO] < - SERVER INIT - > "
time="2020-08-08 02:33:53" level=info msg="[SUCC][MODE] > test"
time="2020-08-08 02:33:53" level=info msg="[INFO] < - MyDB INIT - >"
time="2020-08-08 02:33:56" level=info msg="[SUCC][DB Host] > 34.92.36.107"
time="2020-08-08 02:33:56" level=info msg="[INFO] < - SERVER START - > "
time="2020-08-08 02:33:56" level=error msg="[ERRO]listen tcp :8080: bind: address already in use"
time="2020-08-08 02:34:09" level=info msg="[INFO] < - SERVER INIT - > "
time="2020-08-08 02:34:09" level=info msg="[SUCC][MODE] > test"
time="2020-08-08 02:34:09" level=info msg="[INFO] < - MyDB INIT - >"
time="2020-08-08 02:34:12" level=info msg="[SUCC][DB Host] > 34.92.36.107"
time="2020-08-08 02:34:12" level=info msg="[INFO] < - SERVER START - > "
time="2020-08-08 13:11:21" level=info msg="[INFO] < - SERVER INIT - > "
time="2020-08-08 13:11:21" level=info msg="[SUCC][MODE] > test"
time="2020-08-08 13:11:21" level=info msg="[INFO] < - MyDB INIT - >"
time="2020-08-08 13:11:24" level=info msg="[SUCC][DB Host] > 34.92.36.107"
time="2020-08-08 13:11:24" level=info msg="[INFO] < - SERVER START - > "
time="2020-08-10 13:03:27" level=info msg="| 404 |  161.027434ms |       127.0.0.1 | POST | /mycard/AuthMycard |"
time="2020-08-10 13:03:30" level=info msg="| 404 |  130.932334ms |       127.0.0.1 | POST | /mycard/AuthMycard |"
time="2020-08-10 13:03:30" level=info msg="| 404 |   78.574117ms |       127.0.0.1 | POST | /mycard/AuthMycard |"
time="2020-08-10 13:03:31" level=info msg="| 404 |  137.294801ms |       127.0.0.1 | POST | /mycard/AuthMycard |"
time="2020-08-10 13:03:35" level=info msg="| 404 |  134.102422ms |       127.0.0.1 | POST | /mycard/AuthMycard |"
time="2020-08-10 13:03:35" level=info msg="| 404 |   80.241559ms |       127.0.0.1 | POST | /mycard/AuthMycard |"
time="2020-08-10 13:03:35" level=info msg="| 404 |   95.151424ms |       127.0.0.1 | POST | /mycard/AuthMycard |"
time="2020-08-10 13:03:36" level=info msg="| 404 |  137.840048ms |       127.0.0.1 | POST | /mycard/AuthMycard |"
time="2020-08-10 13:03:36" level=info msg="| 404 |   81.569215ms |       127.0.0.1 | POST | /mycard/AuthMycard |"
time="2020-08-10 13:03:36" level=info msg="| 404 |   84.444509ms |       127.0.0.1 | POST | /mycard/AuthMycard |"
time="2020-08-10 13:12:23" level=info msg="| 404 |  154.973562ms |       127.0.0.1 | POST | /mycard/AuthMycard |"
time="2020-08-10 13:12:24" level=info msg="| 404 |   81.043299ms |       127.0.0.1 | POST | /mycard/AuthMycard |"
time="2020-08-10 13:12:24" level=info msg="| 404 |  137.018039ms |       127.0.0.1 | POST | /mycard/AuthMycard |"
time="2020-08-10 13:12:24" level=info msg="| 404 |   79.922223ms |       127.0.0.1 | POST | /mycard/AuthMycard |"
time="2020-08-10 13:12:25" level=info msg="| 404 |   82.118161ms |       127.0.0.1 | POST | /mycard/AuthMycard |"
time="2020-08-11 09:23:57" level=info msg="| 200 |  169.720468ms |       127.0.0.1 | GET | /swagger/index.html |"
time="2020-08-11 09:23:57" level=info msg="| 200 |   86.075081ms |       127.0.0.1 | GET | /swagger/swagger-ui.css |"
time="2020-08-11 09:23:57" level=info msg="| 200 |  136.829896ms |       127.0.0.1 | GET | /swagger/swagger-ui-bundle.js |"
time="2020-08-11 09:23:57" level=info msg="| 200 |  144.258367ms |       127.0.0.1 | GET | /swagger/swagger-ui-standalone-preset.js |"
time="2020-08-11 09:23:58" level=info msg="| 200 |   78.728796ms |       127.0.0.1 | GET | /swagger/favicon-16x16.png |"
time="2020-08-11 09:23:58" level=info msg="| 200 |   88.130665ms |       127.0.0.1 | GET | /swagger/doc.json |"
time="2020-08-11 10:56:48" level=info msg="| 200 |  159.688949ms |       127.0.0.1 | GET | /demo |"
time="2020-08-11 10:56:48" level=info msg="| 304 |  135.510473ms |       127.0.0.1 | GET | /static/css/font.css |"
time="2020-08-11 10:56:48" level=info msg="| 200 |   140.48377ms |       127.0.0.1 | GET | /static/css/bootstrap-grid.css |"
time="2020-08-11 10:56:48" level=info msg="| 200 |  148.486857ms |       127.0.0.1 | GET | /static/css/bootstrap-reboot.css |"
time="2020-08-11 10:56:48" level=info msg="| 200 |  151.646305ms |       127.0.0.1 | GET | /static/css/bootstrap.css |"
time="2020-08-11 10:56:48" level=info msg="| 404 |    77.38118ms |       127.0.0.1 | GET | /static/css/bootstrap.css.map |"
time="2020-08-11 10:56:48" level=info msg="| 404 |   82.232136ms |       127.0.0.1 | GET | /static/css/bootstrap-grid.css.map |"
time="2020-08-11 10:56:48" level=info msg="| 404 |   81.156299ms |       127.0.0.1 | GET | /static/css/bootstrap-reboot.css.map |"
time="2020-08-11 10:56:48" level=info msg="| 200 |   81.624124ms |       127.0.0.1 | GET | /static/css/fonts/Fixedsys500c.woff |"
time="2020-08-11 10:56:48" level=info msg="| 200 |   84.859045ms |       127.0.0.1 | GET | /static/images/icon.ico |"
time="2020-08-11 10:56:54" level=info msg="| 404 |  134.820914ms |       127.0.0.1 | POST | /mycard/AuthMycard |"
time="2020-08-11 10:56:58" level=info msg="| 404 |  134.709499ms |       127.0.0.1 | POST | /mycard/AuthMycard |"
time="2020-08-11 10:56:59" level=info msg="| 404 |  135.011199ms |       127.0.0.1 | POST | /mycard/AuthMycard |"
time="2020-08-11 10:57:00" level=info msg="| 404 |    81.03194ms |       127.0.0.1 | POST | /mycard/AuthMycard |"
time="2020-08-11 10:57:00" level=info msg="| 404 |   78.210652ms |       127.0.0.1 | POST | /mycard/AuthMycard |"
time="2020-08-11 10:57:00" level=info msg="| 404 |   79.151902ms |       127.0.0.1 | POST | /mycard/AuthMycard |"
time="2020-08-11 10:57:01" level=info msg="| 404 |  133.829296ms |       127.0.0.1 | POST | /mycard/AuthMycard |"
time="2020-08-11 10:57:01" level=info msg="| 404 |   82.079387ms |       127.0.0.1 | POST | /mycard/AuthMycard |"
time="2020-08-11 10:57:03" level=info msg="| 200 |  137.596336ms |       127.0.0.1 | GET | /demo |"
time="2020-08-11 10:57:03" level=info msg="| 404 |  135.835621ms |       127.0.0.1 | GET | /static/css/bootstrap.css.map |"
time="2020-08-11 10:57:03" level=info msg="| 404 |  139.310719ms |       127.0.0.1 | GET | /static/css/bootstrap-reboot.css.map |"
time="2020-08-11 10:57:03" level=info msg="| 404 |  139.840108ms |       127.0.0.1 | GET | /static/css/bootstrap-grid.css.map |"
time="2020-08-11 10:57:03" level=info msg="| 200 |   83.041341ms |       127.0.0.1 | GET | /static/images/icon.ico |"
